manuf,model,volt,chuck,brush,no bateries,low max rpm,hi max rpm,price ,torque nm,torque in lb,uwo,source ,,
ryobi,one+hp 18v brushless 1/2 inch drill,18,0.500,brushless,0,500,2100,99,,750,,https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-3-8-in-Drill-Driver-Kit-with-1-5-Ah-Battery-and-Charger-PDD209K/312462410,,
dewalt ,20v 1/2 in drill ,20,0.500,brushed,2,450,1500,134.83,,,300,https://www.homedepot.com/p/DEWALT-20-Volt-MAX-Cordless-1-2-in-Drill-Driver-2-20-Volt-1-3Ah-Batteries-Charger-Bag-DCD771C2/204279858,,
makita,lxfd01,18,0.500,brushless,2,1500,1500,279,,480,,https://www.zxzxsell.com/?category_id=5927561,,
Wen,3.6 volt electric screwdriver drill,3.6,0.250,brushed,1,180,180,18.96,,31,,https://www.homedepot.com/p/WEN-3-6-Volt-Lithium-Ion-Cordless-Electric-Screwdriver-with-Bits-and-Belt-Holster-49103/303355547,,
bosch,ps31-21-12v,12,0.500,brushed,2,350,1300,129,,265,,https://www.amazon.com/BOSCH-Power-Tools-Drill-Kit/dp/B003BEE2LU?th=1,,
ryobi,18v cordless 3/8 in drll,18,0.375,brushed,1,600,600,59.97,,475,,https://www.homedepot.com/p/RYOBI-ONE-18V-Cordless-3-8-in-Drill-Driver-Kit-with-1-5-Ah-Battery-and-Charger-PDD209K/312462410,,
bosch,dos181-02,18,0.500,brushed,2,1700,1700,159,,600,,https://www.zxzxsell.com/?category_id=5927561,,
Bauer,1791c-b,20,0.500,brushed,0,450,1700,33,,450,,https://www.harborfreight.com/power-tools/drills-drivers/cordless-drills-drivers/1-2-in/20v-cordless-12-in-drilldriver-tool-only-56725.html,,
grenworks,24v brushless drill,24,0.500,brushless,0,1450,1450,70,,310,,https://www.amazon.com/Greenworks-Brushless-Battery-Included-DD24L00/dp/B086K5Q6JG/ref=asc_df_B086K5Q6JG/?tag=&linkCode=df0&hvadid=416868252671&hvpos=&hvnetw=g&hvrand=13373656977672552228&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027906&hvtargid=pla-914593312490&ref=&adgrpid=90730998661&th=1,,
Wen,3.6 volt electric screwdriver drill,3.6,0.250,brushed,1,180,180,19.92,,30,,https://www.homedepot.com/p/WEN-3-6-Volt-Lithium-Ion-Cordless-1-4-in-Electric-Screwdriver-49036/203812114,,
hercules,hd91b,12,0.375,brushed,0,400,1500,40,,312,,https://www.harborfreight.com/power-tools/drills-drivers/cordless-drills-drivers/3-8-in/12v-cordless-38-in-compact-drilldriver-tool-only-56563.html,,
Hyper Tough,8v max cordless drill 3/8,8,0.375,brushed,1,550,550,19.95,10,,,https://www.superarbor.io/products/601537084-hyper-tough-8v-max-cordless-drill-3-8-inch-chuck-non-removable-1-5ah-battery-with-charger-bit-holder-led-light,,
crafstman,CMCD710C1,20,0.500,brushless,1,600,1900,129,,,350,https://www.acehardware.com/departments/tools/power-tools/cordless-drills/2838068?irclickid=RnGW7q27PxyNUDE0tWQJbQBGUkDR4kX0KVO6y00&irgwc=1&utm_medium=Affiliate&utm_source=Impact&utm_campaign=78091&utm_keyword=611504,,
milwuakee,m12 12v 1/4 inch drill,12,0.250,brushed,2,500,500,99,,175,,https://www.homedepot.com/p/Milwaukee-M12-12V-Lithium-Ion-Cordless-1-4-in-Hex-Screwdriver-Kit-with-Two-1-5Ah-Batteries-Charger-and-Tool-Bag-2401-22/100615066,,
makita,40v mx xgt compact brushless,40,0.500,brushless,0,550,2200,154,,585,,https://www.homedepot.com/p/Makita-40V-Max-XGT-Compact-Brushless-Cordless-1-2-in-Driver-Drill-Tool-Only-GFD02Z/316617107,,
Milwaukee,2603-22,18,0.500,brushless,2,1850,1850,279,,725,,https://www.zxzxsell.com/?category_id=5927561,,
GardenJoy,cordless 21v 3/8 drill,21,0.375,brushed,1,450,1500,40,,280,,https://www.amazon.com/GardenJoy-Cordless-Speed%EF%BC%880-1500-Accessories-Improvement/dp/B08QCG6NKR/ref=sr_1_4_sspa?keywords=drill&qid=1662585830&sr=8-4-spons&th=1,,
